,ref,doi,pub_link,doi_short,meta,indigenous,local,knowledge
0,"Abbott, D. and S. Pollard, 2004: Hardship and Poverty in the Pacific. Asian Development Bank, Manila, Philippines, 151 pp. Available at: https://www. adb.org/sites/default/files/publication/28800/hardship-poverty.pdf.",,,,,,,
1,"Abbott, K. W., 2017: Orchestration: strategic ordering in polycentric climate governance. Available at SSRN 2983512, doi:http://dx.doi.org/10.2139/ ssrn.2983512.",https://doi.org/10.2139/ssrn.2983512,http://www.ssrn.com/abstract=2983512,10.2139/ssrn.2983512,Publisher link; Couldn't analyze abstract,,,
2,"Abdullah, A. N. M. et al., 2016: A short-term decrease in household income inequality in the Sundarbans, Bangladesh, following Cyclone Aila. Natural Hazards, 83(2), 1103-1123, doi:https://doi.org/10.1007/s11069-016-2358-1. Abel, G. J., M. Brottrager, J. Crespo Cuaresma and R. Muttarak, 2019: Climate, conflict and forced migration. Global Environmental Change, 54, 239-249,",https://doi.org/10.1016/j.gloenvcha.2018.12.003,https://linkinghub.elsevier.com/retrieve/pii/S0959378018301596,10.1016/j.gloenvcha.2018.12.003,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
3,"Abrahamse, W. and R. Shwom, 2018: Domestic energy consumption and climate change mitigation. WIRES Climate Change, 9(4), doi:https://doi. org/10.1002/wcc.525.",https://doi.org/10.1002/wcc.525,https://onlinelibrary.wiley.com/doi/10.1002/wcc.525,10.1002/wcc.525,Publisher link; Analyzed abstract; Exported the abstract,0,0,1
4,"Acharya, P., B. Boggess and K. Zhang, 2018: Assessing Heat Stress and Health among Construction Workers in a Changing Climate: A Review. Int J Environ Res Public Health, 15, 247, doi:10.3390/ijerph15020247.",https://doi.org/10.3390/ijerph15020247,https://www.mdpi.com/1660-4601/15/2/247,10.3390/ijerph15020247,Publisher link; Couldn't analyze abstract,,,
5,"Acosta, L. A. et al., 2016: Loss and damage from typhoon-induced floods and landslides in the Philippines: community perceptions on climate impacts and adaptation options. International Journal of Global Warming, 9(1), 33-65, doi:10.1504/ijgw.2016.074307.",https://doi.org/10.1504/IJGW.2016.074307,https://www.inderscienceonline.com/doi/abs/10.1504/IJGW.2016.074307,10.1504/IJGW.2016.074307,Publisher link; Couldn't analyze abstract,,,
6,"Adamo, S. et al., 2021: Slow Onset Events related to Climate Change. Current Opinion in Environmental Sustainability, 50, https://www.sciencedirect. com/journal/current-opinion-in-environmental-sustainability/vol/50/suppl/C. (accessed 13-08-2021).",https://doi.org/10.1016/j.cosust.2021.08.003,https://linkinghub.elsevier.com/retrieve/pii/S1877343521001135,10.1016/j.cosust.2021.08.003,Publisher link; Couldn't analyze abstract,,,
7,"Adams, H. et al., 2020: Multi-dimensional well-being associated with economic dependence on ecosystem services in deltaic social-ecological systems of Bangladesh. Regional Environmental Change, 20, 42, doi:10.1007/s10113- 020-01620-x.",https://doi.org/10.1007/s10113-020-01620-x,https://link.springer.com/article/10.1007/s10113-020-01620-x,10.1007/s10113-020-01620-x,Publisher link; Analyzed abstract; Exported the abstract,0,1,0
8,"Adams, H., 2016: Why populations persist: mobility, place attachment and climate change. Population and Environment, 37(4), 429-448, doi:https:// doi.org/10.1007/s11111-015-0246-3.",https://doi.org/10.1007/s11111-015-0246-3,https://link.springer.com/article/10.1007/s11111-015-0246-3,10.1007/s11111-015-0246-3,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
9,"ADB, 2005: The Asian Development Bank Annual Report 2004. Asian Development Bank (ADB), Singapore, 250 pp. Available at: https://www.adb. org/sites/default/files/institutional-document/31327/ar2004.pdf.",,,,,,,
10,"Adger, W. N. et al., 2013: Cultural dimensions of climate change impacts and adaptation. Nature climate change, 3(2), 112-117, doi:https://doi. org/10.1038/nclimate1666.",https://doi.org/10.1038/nclimate1666,https://www.nature.com/articles/nclimate1666,10.1038/nclimate1666,Publisher link; Couldn't analyze abstract,,,
11,"Adger, W. N. et al., 2014: Human Security. In: Climate Change 2014: Impacts, Adaptation, and Vulnerability. Part A: Global and Sectoral Aspects. Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change [Field, C. B., V. R. Barros, D. J. Dokken, K. J. Mach, M. D. Mastrandrea, T. E. Bilir, M. Chatterjee, K. L. Ebi, Y. O. Estrada, R. C. Genova, B. Girma, E. S. Kissel, A. N. Levy, S. MacCracken, P. R. Mastrandrea and L. L. White (eds.)]. Cambridge University Press, Cambridge, UK and New York, NY, USA pp. 755-791. ISBN 9781107058071.",,,,,,,
12,"Adger, W. N. et al., 2020: Urbanization, Migration, and Adaptation to Climate Change. One Earth, 3(4), 396-399, doi:https://doi.org/10.1016/j. oneear.2020.09.016.",https://doi.org/10.1016/j.oneear.2020.09.016,https://linkinghub.elsevier.com/retrieve/pii/S2590332220304851,10.1016/j.oneear.2020.09.016,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
13,"Adger, W. N., R. S. de Campos and C. Mortreux, 2018: Mobility, displacement and migration, and their interactions with vulnerability and adaptation to environmental risks. In: Routledge handbook of environmental displacement and migration, 1st ed. [McLeman, R. and F. Gemenne (eds.)]. Routledge, London, pp. 29-41. ISBN https://doi.org/10.4324/9781315638843.",https://doi.org/10.4324/9781315638843,https://www.taylorfrancis.com/books/edit/10.4324/9781315638843/routledge-handbook-environmental-displacement-migration-robert-mcleman-fran%C3%A7ois-gemenne,10.4324/9781315638843,Publisher link; Couldn't analyze abstract,,,
14,"Afifi, T. et al., 2016: Human mobility in response to rainfall variability: opportunities for migration as a successful adaptation strategy in eight case studies. Migration and Development, 5(2), 254-274, doi:https://doi.org/10.1 080/21632324.2015.1022974.",https://doi.org/10.1080/21632324.2015.1022974,https://www.tandfonline.com/doi/full/10.1080/21632324.2015.1022974,10.1080/21632324.2015.1022974,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
15,"Agrawal, A. and N. Perrin, 2009: Climate adaptation, local institutions and rural livelihoods. In: Adapting to climate change: thresholds, values, governance [Adger, N. W., I. Lorenzoni and K. L. O'Brien (eds.)]. Cambridge University Press, Cambridge, pp. 350-367. ISBN 9780521764858.",https://doi.org/10.1017/CBO9780511596667.023,https://www.cambridge.org/core/books/abs/adapting-to-climate-change/climate-adaptation-local-institutions-and-rural-livelihoods/42ED331F08385EED32EFC5336E057579,10.1017/CBO9780511596667.023,Publisher link; Couldn't analyze abstract,,,
16,"Ahlborg, H. and A. J. Nightingale, 2012: Mismatch between scales of knowledge in Nepalese forestry: epistemology, power, and policy implications. Ecology and Society, 17(4), doi:http://dx.doi.org/10.5751/ES-05171-170416.",https://doi.org/10.5751/ES-05171-170416,https://www.ecologyandsociety.org/vol17/iss4/art16/,10.5751/ES-05171-170416,Publisher link; Couldn't analyze abstract,,,
17,"Ahmad, A., A. El-Shafie, S. F. M. Razali and Z. S. Mohamad, 2014: Reservoir Optimization in Water Resources: a Review. Water Resources Management, 28(11), 3391-3405, doi:10.1007/s11269-014-0700-5.",https://doi.org/10.1007/s11269-014-0700-5,https://link.springer.com/article/10.1007/s11269-014-0700-5,10.1007/s11269-014-0700-5,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
18,"Ahmadalipour, A., H. Moradkhani, A. Castelletti and N. Magliocca, 2019: Future drought risk in Africa: Integrating vulnerability, climate change, and population growth. Science of the Total Environment, 662, 672-686, doi:https://doi.org/10.1016/j.scitotenv.2019.01.278.",https://doi.org/10.1016/j.scitotenv.2019.01.278,https://linkinghub.elsevier.com/retrieve/pii/S0048969719303213,10.1016/j.scitotenv.2019.01.278,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
19,"Ahmed, F. et al., 2018: Integrated Adaptation Tipping Points (IATPs) for urban flood resilience. Environment and Urbanization, 30(2), 575-596, doi:10.1177/0956247818776510.",https://doi.org/10.1177/0956247818776510,https://journals.sagepub.com/doi/10.1177/0956247818776510,10.1177/0956247818776510,Publisher link; Couldn't analyze abstract,,,
20,"Ahmed, I. et al., 2019: Climate change, environmental stress and loss of livelihoods can push people towards illegal activities: a case study from coastal Bangladesh. Climate and Development, 11(10), 907-917, doi:https:// doi.org/10.1080/17565529.2019.1586638.",https://doi.org/10.1080/17565529.2019.1586638,https://www.tandfonline.com/doi/full/10.1080/17565529.2019.1586638,10.1080/17565529.2019.1586638,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
21,"Aipira, C., A. Kidd and K. Morioka, 2017: Climate change adaptation in pacific countries: Fostering resilience through gender equality. In: Climate change adaptation in Pacific countries [W, L. F. (ed.)]. Springer, Cham, pp. 225-239. ISBN 978-3-319-50093-5.",https://doi.org/10.1007/978-3-319-50094-2_13,https://link.springer.com/chapter/10.1007/978-3-319-50094-2_13,10.1007/978-3-319-50094-2_13,Publisher link; Analyzed abstract; Exported the abstract,0,1,1
22,"Aitsi-Selmi, A. and V. Murray, 2016: Protecting the Health and Well-being of Populations from Disasters: Health and Health Care in The Sendai Framework for Disaster Risk Reduction 2015-2030. Prehospital and Disaster Medicine, 31(01), 74-78, doi:10.1017/s1049023x15005531.",https://doi.org/10.1017/S1049023X15005531,https://www.cambridge.org/core/journals/prehospital-and-disaster-medicine/article/protecting-the-health-and-wellbeing-of-populations-from-disasters-health-and-health-care-in-the-sendai-framework-for-disaster-risk-reduction-20152030/C6229EE776C4A9A629BC119308B6747B,10.1017/S1049023X15005531,Publisher link; Couldn't analyze abstract,,,
23,"Ajayi, O. and P. Mafongoya, 2017: Indigenous knowledge systems and climate change management in Africa. CTA, Wageningen, The Netherlands, 316 pp. ISBN 978-92-9081-619-5.",,,,,,,
24,"Alam, A. F. M. A., R. Asad and A. Parvin, 2015: Climate Change Adaptation Through Grassroots Responses: Learning from the ""Aila"" Affected Coastal Settlement of Gabura, Bangladesh. In: Handbook of Climate Change Adaptation [Leal Filho, W. (ed.)]. Springer, Berlin, Heidelberg, pp. 2011-2034. Alam, G. M. M., K. Alam, S. Mushtaq and W. Leal Filho, 2018: How do climate change and associated hazards impact on the resilience of riparian rural communities in Bangladesh? Policy implications for livelihood development. Environmental science & policy, 84, 7-18, doi:https://doi.org/10.1016/j.",https://doi.org/10.1007/978-3-642-38670-1_16,https://link.springer.com/referenceworkentry/10.1007/978-3-642-38670-1_16,10.1007/978-3-642-38670-1_16,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
25,"Alam, K. and M. H. Rahman, 2019: Post-disaster recovery in the cyclone Aila affected coastline of Bangladesh: women's role, challenges and opportunities. Natural Hazards, 96(3), 1067-1090, doi:10.1007/s11069-",https://doi.org/10.1007/s11069-019-03591-7,https://link.springer.com/article/10.1007/s11069-019-03591-7,10.1007/s11069-019-03591-7,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
26,"Alaniz, R., 2017: From strangers to neighbors: Post-disaster resettlement and community building in Honduras. University of Texas Press, Texas. ISBN 978- 1-4773-1409-8.",https://doi.org/10.7560/313831,https://www.degruyter.com/document/doi/10.7560/313831/html,10.7560/313831,Publisher link; Couldn't analyze abstract,,,
27,"Aldrich, D. P., C. M. Page-Tan and C. J. Paul, 2016: Social capital and climate change adaptation. Oxford Research Encyclopedia of Climate Science, doi:https://doi.org/10.1093/acrefore/9780190228620.013.342.",https://doi.org/10.1093/acrefore/9780190228620.013.342,https://climatescience.oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-342,10.1093/acrefore/9780190228620.013.342,Publisher link; Couldn't analyze abstract,,,
28,"Aleksandrova, M., 2020: Principles and considerations for mainstreaming climate change risk into national social protection frameworks in developing countries. Climate and Development, 12(6), 511-520, doi:https://doi.org/10. 1080/17565529.2019.1642180.",https://doi.org/10.1080/17565529.2019.1642180,https://www.tandfonline.com/doi/full/10.1080/17565529.2019.1642180,10.1080/17565529.2019.1642180,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
29,"Alencar, A., P. Moutinho, V. Arruda and D. Silverio, 2020: Amazônia Em Chamas O Fogo E O Desmatamento Em 2019 E O Que Vem Em 2020. Nota Tecnica, IPAM, Ipam, Brasilia- DF. Available at: https://ipam.org.br/wp-content/ uploads/2020/04/NT3-Fogo-em-2019.pdf. (accessed 10-05-2021)",,,,,,,
30,"Alexander, M., E. Zagheni and K. Polimis, 2019: The impact of Hurricane Maria on out-migration from Puerto Rico: Evidence from Facebook data. Population and Development Review, 45(3), 617-630, doi:https://doi.org/10.1111/ padr.12289.",https://doi.org/10.1111/padr.12289,https://onlinelibrary.wiley.com/doi/10.1111/padr.12289,10.1111/padr.12289,Publisher link; Couldn't analyze abstract,,,
31,"Alston, M., 2012: Rural male suicide in Australia. Social science & medicine,",https://doi.org/10.1016/j.socscimed.2010.04.036,https://linkinghub.elsevier.com/retrieve/pii/S0277953610003862,10.1016/j.socscimed.2010.04.036,Publisher link; Analyzed abstract; Exported the abstract,0,0,0
